block_raw,block_matched,block_id,row_number,side,row_length_m,row_width_m,structure
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,15,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,16,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,17,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,18,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,19,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,20,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,21,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,22,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,23,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,24,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,25,,145,3,PORTION
MODI 2,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,26,,130.5,3,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,1,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,2,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,3,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,4,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,5,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,6,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,7,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,8,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,9,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,10,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,11,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,12,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,13,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,14,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,15,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,16,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,17,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,18,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,19,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,20,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,21,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,22,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,23,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,24,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,25,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,26,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,27,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,28,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,29,,147,4.5,PORTION
ROB DWARF PL,Dwarf Pink Lady,c0547d76-1a95-4c7e-8ea4-3bda03d1d33f,30,,147,4.5,PORTION
